class_id,test_samples,correct,accuracy
0,20,14,0.7
1,40,30,0.75
2,20,1,0.05
3,36,8,0.2222222222222222
4,45,27,0.6
5,25,11,0.44
6,20,15,0.75
7,65,41,0.6307692307692307
8,26,16,0.6153846153846154
9,25,19,0.76
10,67,8,0.11940298507462686
11,67,55,0.8208955223880597
12,29,19,0.6551724137931034
13,28,22,0.7857142857142857
14,29,15,0.5172413793103449
15,21,9,0.42857142857142855
16,65,45,0.6923076923076923
17,62,17,0.27419354838709675
18,29,6,0.20689655172413793
19,36,12,0.3333333333333333
20,20,7,0.35
21,39,19,0.48717948717948717
22,71,24,0.3380281690140845
23,22,14,0.6363636363636364
24,21,13,0.6190476190476191
25,21,13,0.6190476190476191
26,20,13,0.65
27,46,27,0.5869565217391305
28,58,38,0.6551724137931034
29,65,27,0.4153846153846154
30,32,5,0.15625
31,25,1,0.04
32,26,11,0.4230769230769231
33,20,8,0.4
34,23,20,0.8695652173913043
35,55,35,0.6363636363636364
36,88,63,0.7159090909090909
37,36,23,0.6388888888888888
38,21,8,0.38095238095238093
39,47,9,0.19148936170212766
40,107,20,0.18691588785046728
41,39,9,0.23076923076923078
42,110,20,0.18181818181818182
43,73,25,0.3424657534246575
44,20,3,0.15
45,176,58,0.32954545454545453
46,47,34,0.723404255319149
47,51,33,0.6470588235294118
48,29,17,0.5862068965517241
49,72,51,0.7083333333333334
50,238,86,0.36134453781512604
51,65,49,0.7538461538461538
52,73,14,0.1917808219178082
53,41,33,0.8048780487804879
54,51,36,0.7058823529411765
55,89,62,0.6966292134831461
56,47,26,0.5531914893617021
57,94,58,0.6170212765957447
58,47,34,0.723404255319149
59,89,81,0.9101123595505618
60,30,29,0.9666666666666667
61,35,4,0.11428571428571428
62,34,26,0.7647058823529411
63,32,23,0.71875
64,82,42,0.5121951219512195
65,41,40,0.975609756097561
66,22,7,0.3181818181818182
67,34,13,0.38235294117647056
68,34,25,0.7352941176470589
69,42,20,0.47619047619047616
70,58,40,0.6896551724137931
71,76,19,0.25
72,174,45,0.25862068965517243
73,151,29,0.19205298013245034
74,100,33,0.33
75,87,36,0.41379310344827586
76,231,73,0.31601731601731603
77,117,35,0.29914529914529914
78,21,11,0.5238095238095238
79,85,6,0.07058823529411765
80,146,90,0.6164383561643836
81,92,17,0.18478260869565216
82,111,7,0.06306306306306306
83,66,2,0.030303030303030304
84,43,20,0.46511627906976744
85,38,22,0.5789473684210527
86,43,28,0.6511627906976745
87,134,56,0.417910447761194
88,164,65,0.39634146341463417
89,62,10,0.16129032258064516
90,56,29,0.5178571428571429
91,46,16,0.34782608695652173
92,26,4,0.15384615384615385
93,142,35,0.24647887323943662
94,108,13,0.12037037037037036
95,71,9,0.1267605633802817
96,46,6,0.13043478260869565
97,62,21,0.3387096774193548
98,43,11,0.2558139534883721
99,29,17,0.5862068965517241
100,38,14,0.3684210526315789
101,28,14,0.5
