class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,36,0.9
2,20,14,0.7
3,36,16,0.4444444444444444
4,45,43,0.9555555555555556
5,25,23,0.92
6,20,18,0.9
7,65,65,1.0
8,26,23,0.8846153846153846
9,25,25,1.0
10,67,41,0.6119402985074627
11,67,62,0.9253731343283582
12,29,28,0.9655172413793104
13,28,28,1.0
14,29,29,1.0
15,21,21,1.0
16,65,65,1.0
17,62,57,0.9193548387096774
18,29,25,0.8620689655172413
19,36,34,0.9444444444444444
20,20,18,0.9
21,39,36,0.9230769230769231
22,71,61,0.8591549295774648
23,22,22,1.0
24,21,21,1.0
25,21,18,0.8571428571428571
26,20,20,1.0
27,46,45,0.9782608695652174
28,58,55,0.9482758620689655
29,65,50,0.7692307692307693
30,32,28,0.875
31,25,20,0.8
32,26,23,0.8846153846153846
33,20,19,0.95
34,23,23,1.0
35,55,53,0.9636363636363636
36,88,86,0.9772727272727273
37,36,35,0.9722222222222222
38,21,18,0.8571428571428571
39,47,43,0.9148936170212766
40,107,102,0.9532710280373832
41,39,38,0.9743589743589743
42,110,73,0.6636363636363637
43,73,66,0.9041095890410958
44,20,19,0.95
45,176,149,0.8465909090909091
46,47,46,0.9787234042553191
47,51,49,0.9607843137254902
48,29,29,1.0
49,72,70,0.9722222222222222
50,238,124,0.5210084033613446
51,65,65,1.0
52,73,50,0.684931506849315
53,41,41,1.0
54,51,47,0.9215686274509803
55,89,87,0.9775280898876404
56,47,43,0.9148936170212766
57,94,93,0.9893617021276596
58,47,47,1.0
59,89,89,1.0
60,30,29,0.9666666666666667
61,35,27,0.7714285714285715
62,34,34,1.0
63,32,32,1.0
64,82,76,0.926829268292683
65,41,41,1.0
66,22,17,0.7727272727272727
67,34,31,0.9117647058823529
68,34,34,1.0
69,42,42,1.0
70,58,58,1.0
71,76,65,0.8552631578947368
72,174,156,0.896551724137931
73,151,110,0.7284768211920529
74,100,95,0.95
75,87,80,0.9195402298850575
76,231,219,0.948051948051948
77,117,106,0.905982905982906
78,21,21,1.0
79,85,81,0.9529411764705882
80,146,143,0.9794520547945206
81,92,83,0.9021739130434783
82,111,79,0.7117117117117117
83,66,51,0.7727272727272727
84,43,42,0.9767441860465116
85,38,35,0.9210526315789473
86,43,39,0.9069767441860465
87,134,113,0.8432835820895522
88,164,149,0.9085365853658537
89,62,47,0.7580645161290323
90,56,51,0.9107142857142857
91,46,43,0.9347826086956522
92,26,23,0.8846153846153846
93,142,134,0.9436619718309859
94,108,99,0.9166666666666666
95,71,50,0.704225352112676
96,46,34,0.7391304347826086
97,62,58,0.9354838709677419
98,43,40,0.9302325581395349
99,29,29,1.0
100,38,35,0.9210526315789473
101,28,28,1.0
