class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,38,0.95
2,20,11,0.55
3,36,19,0.5277777777777778
4,45,37,0.8222222222222222
5,25,23,0.92
6,20,20,1.0
7,65,65,1.0
8,26,25,0.9615384615384616
9,25,24,0.96
10,67,48,0.7164179104477612
11,67,62,0.9253731343283582
12,29,28,0.9655172413793104
13,28,28,1.0
14,29,28,0.9655172413793104
15,21,18,0.8571428571428571
16,65,64,0.9846153846153847
17,62,58,0.9354838709677419
18,29,25,0.8620689655172413
19,36,35,0.9722222222222222
20,20,19,0.95
21,39,37,0.9487179487179487
22,71,61,0.8591549295774648
23,22,21,0.9545454545454546
24,21,20,0.9523809523809523
25,21,19,0.9047619047619048
26,20,20,1.0
27,46,45,0.9782608695652174
28,58,56,0.9655172413793104
29,65,48,0.7384615384615385
30,32,27,0.84375
31,25,21,0.84
32,26,23,0.8846153846153846
33,20,19,0.95
34,23,23,1.0
35,55,53,0.9636363636363636
36,88,86,0.9772727272727273
37,36,35,0.9722222222222222
38,21,17,0.8095238095238095
39,47,42,0.8936170212765957
40,107,103,0.9626168224299065
41,39,35,0.8974358974358975
42,110,78,0.7090909090909091
43,73,68,0.9315068493150684
44,20,19,0.95
45,176,169,0.9602272727272727
46,47,47,1.0
47,51,49,0.9607843137254902
48,29,29,1.0
49,72,69,0.9583333333333334
50,238,140,0.5882352941176471
51,65,65,1.0
52,73,48,0.6575342465753424
53,41,41,1.0
54,51,48,0.9411764705882353
55,89,88,0.9887640449438202
56,47,45,0.9574468085106383
57,94,92,0.9787234042553191
58,47,47,1.0
59,89,89,1.0
60,30,29,0.9666666666666667
61,35,31,0.8857142857142857
62,34,34,1.0
63,32,32,1.0
64,82,72,0.8780487804878049
65,41,41,1.0
66,22,18,0.8181818181818182
67,34,34,1.0
68,34,34,1.0
69,42,42,1.0
70,58,55,0.9482758620689655
71,76,64,0.8421052631578947
72,174,164,0.9425287356321839
73,151,114,0.7549668874172185
74,100,96,0.96
75,87,79,0.9080459770114943
76,231,222,0.961038961038961
77,117,102,0.8717948717948718
78,21,21,1.0
79,85,84,0.9882352941176471
80,146,146,1.0
81,92,83,0.9021739130434783
82,111,77,0.6936936936936937
83,66,47,0.7121212121212122
84,43,41,0.9534883720930233
85,38,35,0.9210526315789473
86,43,38,0.8837209302325582
87,134,117,0.8731343283582089
88,164,150,0.9146341463414634
89,62,48,0.7741935483870968
90,56,52,0.9285714285714286
91,46,44,0.9565217391304348
92,26,23,0.8846153846153846
93,142,136,0.9577464788732394
94,108,101,0.9351851851851852
95,71,57,0.8028169014084507
96,46,39,0.8478260869565217
97,62,58,0.9354838709677419
98,43,41,0.9534883720930233
99,29,29,1.0
100,38,36,0.9473684210526315
101,28,28,1.0
