class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,37,0.925
2,20,12,0.6
3,36,21,0.5833333333333334
4,45,41,0.9111111111111111
5,25,24,0.96
6,20,19,0.95
7,65,65,1.0
8,26,24,0.9230769230769231
9,25,25,1.0
10,67,45,0.6716417910447762
11,67,62,0.9253731343283582
12,29,28,0.9655172413793104
13,28,28,1.0
14,29,29,1.0
15,21,20,0.9523809523809523
16,65,65,1.0
17,62,59,0.9516129032258065
18,29,25,0.8620689655172413
19,36,33,0.9166666666666666
20,20,18,0.9
21,39,36,0.9230769230769231
22,71,61,0.8591549295774648
23,22,22,1.0
24,21,21,1.0
25,21,18,0.8571428571428571
26,20,20,1.0
27,46,45,0.9782608695652174
28,58,55,0.9482758620689655
29,65,50,0.7692307692307693
30,32,27,0.84375
31,25,20,0.8
32,26,23,0.8846153846153846
33,20,19,0.95
34,23,23,1.0
35,55,52,0.9454545454545454
36,88,86,0.9772727272727273
37,36,35,0.9722222222222222
38,21,19,0.9047619047619048
39,47,44,0.9361702127659575
40,107,103,0.9626168224299065
41,39,38,0.9743589743589743
42,110,73,0.6636363636363637
43,73,70,0.958904109589041
44,20,19,0.95
45,176,158,0.8977272727272727
46,47,46,0.9787234042553191
47,51,49,0.9607843137254902
48,29,29,1.0
49,72,69,0.9583333333333334
50,238,121,0.5084033613445378
51,65,65,1.0
52,73,52,0.7123287671232876
53,41,41,1.0
54,51,48,0.9411764705882353
55,89,87,0.9775280898876404
56,47,44,0.9361702127659575
57,94,93,0.9893617021276596
58,47,47,1.0
59,89,89,1.0
60,30,30,1.0
61,35,28,0.8
62,34,34,1.0
63,32,32,1.0
64,82,75,0.9146341463414634
65,41,41,1.0
66,22,18,0.8181818181818182
67,34,30,0.8823529411764706
68,34,34,1.0
69,42,42,1.0
70,58,57,0.9827586206896551
71,76,64,0.8421052631578947
72,174,155,0.8908045977011494
73,151,116,0.7682119205298014
74,100,97,0.97
75,87,81,0.9310344827586207
76,231,218,0.9437229437229437
77,117,106,0.905982905982906
78,21,21,1.0
79,85,82,0.9647058823529412
80,146,146,1.0
81,92,82,0.8913043478260869
82,111,83,0.7477477477477478
83,66,51,0.7727272727272727
84,43,41,0.9534883720930233
85,38,35,0.9210526315789473
86,43,41,0.9534883720930233
87,134,117,0.8731343283582089
88,164,151,0.9207317073170732
89,62,48,0.7741935483870968
90,56,51,0.9107142857142857
91,46,44,0.9565217391304348
92,26,23,0.8846153846153846
93,142,133,0.9366197183098591
94,108,97,0.8981481481481481
95,71,50,0.704225352112676
96,46,33,0.717391304347826
97,62,58,0.9354838709677419
98,43,40,0.9302325581395349
99,29,29,1.0
100,38,35,0.9210526315789473
101,28,28,1.0
