class_id,test_samples,correct,accuracy
0,20,9,0.45
1,40,29,0.725
2,20,8,0.4
3,36,8,0.2222222222222222
4,45,15,0.3333333333333333
5,25,19,0.76
6,20,14,0.7
7,65,43,0.6615384615384615
8,26,17,0.6538461538461539
9,25,20,0.8
10,67,12,0.1791044776119403
11,67,56,0.835820895522388
12,29,22,0.7586206896551724
13,28,21,0.75
14,29,16,0.5517241379310345
15,21,7,0.3333333333333333
16,65,50,0.7692307692307693
17,62,24,0.3870967741935484
18,29,13,0.4482758620689655
19,36,12,0.3333333333333333
20,20,11,0.55
21,39,30,0.7692307692307693
22,71,30,0.4225352112676056
23,22,16,0.7272727272727273
24,21,15,0.7142857142857143
25,21,13,0.6190476190476191
26,20,9,0.45
27,46,30,0.6521739130434783
28,58,46,0.7931034482758621
29,65,32,0.49230769230769234
30,32,8,0.25
31,25,8,0.32
32,26,17,0.6538461538461539
33,20,12,0.6
34,23,20,0.8695652173913043
35,55,35,0.6363636363636364
36,88,69,0.7840909090909091
37,36,30,0.8333333333333334
38,21,5,0.23809523809523808
39,47,13,0.2765957446808511
40,107,28,0.2616822429906542
41,39,12,0.3076923076923077
42,110,33,0.3
43,73,27,0.3698630136986301
44,20,8,0.4
45,176,80,0.45454545454545453
46,47,29,0.6170212765957447
47,51,32,0.6274509803921569
48,29,25,0.8620689655172413
49,72,58,0.8055555555555556
50,238,85,0.35714285714285715
51,65,50,0.7692307692307693
52,73,19,0.2602739726027397
53,41,36,0.8780487804878049
54,51,36,0.7058823529411765
55,89,77,0.8651685393258427
56,47,32,0.6808510638297872
57,94,67,0.7127659574468085
58,47,31,0.6595744680851063
59,89,69,0.7752808988764045
60,30,28,0.9333333333333333
61,35,11,0.3142857142857143
62,34,33,0.9705882352941176
63,32,27,0.84375
64,82,42,0.5121951219512195
65,41,37,0.9024390243902439
66,22,12,0.5454545454545454
67,34,19,0.5588235294117647
68,34,26,0.7647058823529411
69,42,29,0.6904761904761905
70,58,47,0.8103448275862069
71,76,24,0.3157894736842105
72,174,49,0.28160919540229884
73,151,31,0.2052980132450331
74,100,51,0.51
75,87,32,0.367816091954023
76,231,138,0.5974025974025974
77,117,41,0.3504273504273504
78,21,14,0.6666666666666666
79,85,7,0.08235294117647059
80,146,77,0.5273972602739726
81,92,22,0.2391304347826087
82,111,9,0.08108108108108109
83,66,11,0.16666666666666666
84,43,21,0.4883720930232558
85,38,23,0.6052631578947368
86,43,30,0.6976744186046512
87,134,48,0.3582089552238806
88,164,84,0.5121951219512195
89,62,12,0.1935483870967742
90,56,34,0.6071428571428571
91,46,19,0.41304347826086957
92,26,6,0.23076923076923078
93,142,62,0.43661971830985913
94,108,31,0.28703703703703703
95,71,15,0.2112676056338028
96,46,10,0.21739130434782608
97,62,32,0.5161290322580645
98,43,15,0.3488372093023256
99,29,23,0.7931034482758621
100,38,12,0.3157894736842105
101,28,21,0.75
