class_id,test_samples,correct,accuracy
0,20,20,1.0
1,40,38,0.95
2,20,11,0.55
3,36,17,0.4722222222222222
4,45,40,0.8888888888888888
5,25,22,0.88
6,20,19,0.95
7,65,65,1.0
8,26,24,0.9230769230769231
9,25,25,1.0
10,67,42,0.6268656716417911
11,67,63,0.9402985074626866
12,29,28,0.9655172413793104
13,28,28,1.0
14,29,29,1.0
15,21,19,0.9047619047619048
16,65,64,0.9846153846153847
17,62,57,0.9193548387096774
18,29,26,0.896551724137931
19,36,35,0.9722222222222222
20,20,19,0.95
21,39,37,0.9487179487179487
22,71,62,0.8732394366197183
23,22,22,1.0
24,21,21,1.0
25,21,17,0.8095238095238095
26,20,20,1.0
27,46,45,0.9782608695652174
28,58,56,0.9655172413793104
29,65,47,0.7230769230769231
30,32,24,0.75
31,25,24,0.96
32,26,24,0.9230769230769231
33,20,20,1.0
34,23,23,1.0
35,55,51,0.9272727272727272
36,88,86,0.9772727272727273
37,36,35,0.9722222222222222
38,21,18,0.8571428571428571
39,47,42,0.8936170212765957
40,107,101,0.9439252336448598
41,39,38,0.9743589743589743
42,110,81,0.7363636363636363
43,73,71,0.9726027397260274
44,20,18,0.9
45,176,167,0.9488636363636364
46,47,46,0.9787234042553191
47,51,49,0.9607843137254902
48,29,29,1.0
49,72,68,0.9444444444444444
50,238,134,0.5630252100840336
51,65,64,0.9846153846153847
52,73,50,0.684931506849315
53,41,41,1.0
54,51,48,0.9411764705882353
55,89,87,0.9775280898876404
56,47,45,0.9574468085106383
57,94,93,0.9893617021276596
58,47,47,1.0
59,89,89,1.0
60,30,30,1.0
61,35,28,0.8
62,34,34,1.0
63,32,32,1.0
64,82,77,0.9390243902439024
65,41,41,1.0
66,22,17,0.7727272727272727
67,34,31,0.9117647058823529
68,34,34,1.0
69,42,42,1.0
70,58,57,0.9827586206896551
71,76,63,0.8289473684210527
72,174,165,0.9482758620689655
73,151,110,0.7284768211920529
74,100,95,0.95
75,87,76,0.8735632183908046
76,231,217,0.9393939393939394
77,117,104,0.8888888888888888
78,21,21,1.0
79,85,84,0.9882352941176471
80,146,146,1.0
81,92,78,0.8478260869565217
82,111,78,0.7027027027027027
83,66,47,0.7121212121212122
84,43,41,0.9534883720930233
85,38,34,0.8947368421052632
86,43,40,0.9302325581395349
87,134,112,0.835820895522388
88,164,147,0.8963414634146342
89,62,49,0.7903225806451613
90,56,52,0.9285714285714286
91,46,44,0.9565217391304348
92,26,23,0.8846153846153846
93,142,137,0.9647887323943662
94,108,97,0.8981481481481481
95,71,52,0.7323943661971831
96,46,36,0.782608695652174
97,62,58,0.9354838709677419
98,43,41,0.9534883720930233
99,29,29,1.0
100,38,36,0.9473684210526315
101,28,28,1.0
