experiment_name,model,pretrained,attention,epochs,batch_size,backbone_lr,head_lr,weight_decay,best_val_acc,test_acc,params,train_time,checkpoint_path
attention_cbam_resnet18,resnet18,True,cbam,30,64,0.0001,0.001,0.0001,92.64705852433747,88.68108635550496,11272750,178.3393383026123,/root/autodl-tmp/flower102_task1/outputs/checkpoints/attention_cbam_resnet18/best.pt
extended_attention_cbam_resnet18_epochs50,resnet18,True,cbam,50,64,0.0001,0.001,0.0001,93.03921538708256,89.3478614408847,11272750,291.86424946784973,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_attention_cbam_resnet18_epochs50/best.pt
ablation_resnet18_scratch,resnet18,False,none,30,64,0.0001,0.001,0.0001,42.15686267030005,36.461213205399254,11228838,178.82780408859253,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet18_scratch/best.pt
extended_scratch_resnet18_epochs100_lr1e3,resnet18,False,none,100,64,0.001,0.001,0.0001,54.90196078431372,48.86973491624654,11228838,551.8943960666656,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_scratch_resnet18_epochs100_lr1e3/best.pt
ablation_resnet18_pretrained,resnet18,True,none,30,64,0.0001,0.001,0.0001,93.33333333333333,90.37241827939502,11228838,176.85837054252625,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet18_pretrained/best.pt
attention_baseline_resnet18,resnet18,True,none,30,64,0.0001,0.001,0.0001,93.33333333333333,90.37241827939502,11228838,176.30108261108398,/root/autodl-tmp/flower102_task1/outputs/checkpoints/attention_baseline_resnet18/best.pt
baseline_resnet18_pretrained,resnet18,True,none,30,64,0.0001,0.001,0.0001,93.33333333333333,90.37241827939502,11228838,176.72540187835693,/root/autodl-tmp/flower102_task1/outputs/checkpoints/baseline_resnet18_pretrained/best.pt
hparam_resnet18_lr1_epochs30,resnet18,True,none,30,64,0.0001,0.001,0.0001,93.33333333333333,90.37241827939502,11228838,174.29455828666687,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr1_epochs30/best.pt
hparam_resnet18_lr1_epochs50,resnet18,True,none,50,64,0.0001,0.001,0.0001,93.92156862745098,90.5675719629208,11228838,294.89854621887207,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr1_epochs50/best.pt
hparam_resnet18_lr2_epochs30,resnet18,True,none,30,64,5e-05,0.0005,0.0001,92.3529411764706,89.3478614408847,11228838,179.12179565429688,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr2_epochs30/best.pt
hparam_resnet18_lr2_epochs50,resnet18,True,none,50,64,5e-05,0.0005,0.0001,92.84313725490196,89.7869572288177,11228838,295.91270303726196,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr2_epochs50/best.pt
attention_se_resnet18,resnet18,True,se,30,64,0.0001,0.001,0.0001,92.05882337981579,89.9495852984225,11272358,176.1570360660553,/root/autodl-tmp/flower102_task1/outputs/checkpoints/attention_se_resnet18/best.pt
extended_attention_se_resnet18_epochs50,resnet18,True,se,50,64,0.0001,0.001,0.0001,92.54901945824717,89.96584810538299,11272358,281.8566994667053,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_attention_se_resnet18_epochs50/best.pt
ablation_resnet34_scratch,resnet34,False,none,30,32,0.0001,0.001,0.0001,48.52941173478669,41.94177915108148,21336998,196.81248950958252,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet34_scratch/best.pt
extended_scratch_resnet34_epochs100_lr1e3,resnet34,False,none,100,32,0.001,0.001,0.0001,54.509803951487825,48.9998373719304,21336998,610.6579196453094,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_scratch_resnet34_epochs100_lr1e3/best.pt
ablation_resnet34_pretrained,resnet34,True,none,30,32,0.0001,0.001,0.0001,93.92156868728937,90.40494389331599,21336998,198.48571681976318,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet34_pretrained/best.pt
baseline_resnet34_pretrained,resnet34,True,none,30,32,0.0001,0.001,0.0001,93.92156868728937,90.40494389331599,21336998,192.16014170646667,/root/autodl-tmp/flower102_task1/outputs/checkpoints/baseline_resnet34_pretrained/best.pt
hparam_resnet34_lr1_epochs30,resnet34,True,none,30,32,0.0001,0.001,0.0001,93.92156868728937,90.40494389331599,21336998,187.18899726867676,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet34_lr1_epochs30/best.pt
hparam_resnet34_lr1_epochs50,resnet34,True,none,50,32,0.0001,0.001,0.0001,94.01960790297565,90.14473898194828,21336998,315.7239682674408,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet34_lr1_epochs50/best.pt
hparam_resnet34_lr2_epochs30,resnet34,True,none,30,32,5e-05,0.0005,0.0001,93.33333339317173,90.24231582371117,21336998,193.70192432403564,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet34_lr2_epochs30/best.pt
hparam_resnet34_lr2_epochs50,resnet34,True,none,50,32,5e-05,0.0005,0.0001,93.23529417748544,90.5675719629208,21336998,294.4082672595978,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet34_lr2_epochs50/best.pt
