experiment_name,model,pretrained,attention,epochs,batch_size,train_size,val_size,test_size,train_batches_per_epoch,total_train_iterations,optimizer,scheduler,loss_function,metrics,backbone_lr,attention_lr,head_lr,weight_decay,best_val_acc,best_val_map,test_acc,test_map,params,train_time,checkpoint_path
attention_cbam_resnet18,resnet18,True,cbam,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,88.72549004648246,94.60243329226998,85.44478777036916,92.12873732037072,11316662,165.9760081768036,/root/autodl-tmp/flower102_task1/outputs/checkpoints/attention_cbam_resnet18/best.pt
extended_attention_cbam_resnet18_epochs50,resnet18,True,cbam,50,64,,,,,,,,,,0.0001,,0.001,0.0001,93.03921538708256,,89.3478614408847,,11272750,291.86424946784973,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_attention_cbam_resnet18_epochs50/best.pt
ablation_resnet18_scratch,resnet18,False,none,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,42.15686267030005,44.90788788582854,36.461213205399254,38.1792185664566,11228838,164.37353515625,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet18_scratch/best.pt
extended_scratch_resnet18_epochs100_lr1e3,resnet18,False,none,100,64,,,,,,,,,,0.001,,0.001,0.0001,54.90196078431372,,48.86973491624654,,11228838,551.8943960666656,/root/autodl-tmp/flower102_task1/outputs/checkpoints/extended_scratch_resnet18_epochs100_lr1e3/best.pt
ablation_resnet18_pretrained,resnet18,True,none,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,93.33333333333333,97.26471848068454,90.37241827939502,95.9587594984618,11228838,162.0445396900177,/root/autodl-tmp/flower102_task1/outputs/checkpoints/ablation_resnet18_pretrained/best.pt
attention_baseline_resnet18,resnet18,True,none,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,93.33333333333333,97.26471848068454,90.37241827939502,95.9587594984618,11228838,162.43938827514648,/root/autodl-tmp/flower102_task1/outputs/checkpoints/attention_baseline_resnet18/best.pt
baseline_resnet18_pretrained,resnet18,True,none,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,93.33333333333333,97.26471848068454,90.37241827939502,95.9587594984618,11228838,163.15560603141785,/root/autodl-tmp/flower102_task1/outputs/checkpoints/baseline_resnet18_pretrained/best.pt
hparam_resnet18_lr1_epochs30,resnet18,True,none,30,64,1020.0,1020.0,6149.0,16.0,480.0,adamw,cosine,CrossEntropyLoss,"Top-1 Accuracy, macro mAP",0.0001,0.0005,0.001,0.0001,93.33333333333333,97.26471848068454,90.37241827939502,95.9587594984618,11228838,164.45489501953125,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr1_epochs30/best.pt
hparam_resnet18_lr1_epochs50,resnet18,True,none,50,64,,,,,,,,,,0.0001,,0.001,0.0001,93.92156862745098,,90.5675719629208,,11228838,288.43348240852356,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr1_epochs50/best.pt
hparam_resnet18_lr2_epochs30,resnet18,True,none,30,64,,,,,,,,,,5e-05,,0.0005,0.0001,92.3529411764706,,89.3478614408847,,11228838,184.06126189231873,/root/autodl-tmp/flower102_task1/outputs/checkpoints/hparam_resnet18_lr2_epochs30/best.pt
